,Method,Dimention,L2,SP,KL,QL
412,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
413,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
414,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
415,GLASSO-I,50,0.570966,0.200713,0.16691,0.053452
416,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
417,GLASSO-I,50,0.614431,0.196044,0.193057,0.007806
418,GLASSO-I,50,0.501187,0.146116,0.127823,0.187218
419,GLASSO-I,50,0.54453,0.16219,0.150951,0.342358
420,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
421,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
422,GLASSO-I,50,0.645912,0.248575,0.216806,0.121881
423,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
424,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
425,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
426,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
427,GLASSO-I,50,0.510326,0.144827,0.132445,0.194241
428,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
429,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
430,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
431,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
432,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
433,GLASSO-I,50,0.586775,0.217327,0.176526,0.052841
434,GLASSO-I,50,0.619214,0.284931,0.190493,0.550839
435,GLASSO-I,50,0.50213,0.147775,0.128007,0.149697
436,GLASSO-I,50,0.606084,0.280901,0.19081,0.168665
437,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
438,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
439,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
440,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
441,GLASSO-I,50,0.504297,0.146499,0.129345,0.168524
442,GLASSO-I,50,0.559619,0.190366,0.159536,0.090702
443,GLASSO-I,50,0.506504,0.147273,0.130535,0.125997
444,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
445,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
446,GLASSO-I,50,0.563945,0.18129,0.161505,0.208176
447,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
448,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
449,GLASSO-I,50,0.591463,0.207746,0.177969,0.0934
450,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
451,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
452,GLASSO-I,50,0.501013,0.145989,0.127871,0.213038
